Pergunta,Resposta
Quais são as opções de pagamento?,"Aceitamos cartões de crédito, PayPal e transferência bancária."
Como posso rastrear meu pedido?,Você pode rastrear seu pedido através do link que enviamos por e-mail.
Qual é a política de devolução?,Aceitamos devoluções em até 30 dias após a entrega.
Como faço para entrar em contato com o suporte?,Você pode entrar em contato com o suporte através do nosso e-mail ou chat ao vivo.
O que faço se meu pedido não chegou?,"Se seu pedido não chegou, entre em contato com o suporte para verificar a situação."
Posso alterar o endereço de entrega após o pedido ser feito?,"Sim, você pode alterar o endereço de entrega até 24 horas após o pedido."
Como funciona o programa de fidelidade?,"Nosso programa de fidelidade oferece pontos a cada compra, que podem ser trocados por descontos."
Quais são os prazos de entrega?,"Os prazos de entrega variam de 3 a 10 dias úteis, dependendo da sua localização."
Os produtos têm garantia?,"Sim, todos os produtos têm garantia de 1 ano."
Como posso cancelar meu pedido?,"Para cancelar seu pedido, entre em contato com o suporte dentro de 24 horas."
Vocês oferecem entrega internacional?,"Sim, oferecemos entrega internacional para alguns países."
Qual é o valor do frete?,O valor do frete varia conforme a localização e o peso do pedido.
Como posso fazer uma reclamação?,Você pode fazer uma reclamação através do nosso formulário de contato no site.
É possível parcelar a compra?,"Sim, aceitamos pagamentos em até 12 vezes no cartão de crédito."
Vocês aceitam pagamentos em criptomoedas?,"Atualmente, não aceitamos pagamentos em criptomoedas."
Qual é o procedimento para trocar um produto?,"Para trocar um produto, entre em contato com o suporte e siga as instruções."
Como posso resetar minha senha?,Você pode resetar sua senha clicando em 'Esqueci minha senha' na página de login.
Vocês têm algum programa de indicações?,"Sim, temos um programa de indicações que oferece descontos."
Como faço para assinar a newsletter?,"Para assinar a newsletter, inscreva-se no nosso site."
Quais documentos são necessários para a compra?,"Para a compra, basta ter um documento de identidade e um comprovante de residência."
Como posso solicitar uma fatura?,Você pode solicitar uma fatura através do nosso e-mail de atendimento.
Olá! Como posso ajudá-lo hoje?,Estou aqui para responder suas perguntas sobre nossos produtos e serviços.
Bem-vindo! O que você gostaria de saber?,"Posso ajudar com informações sobre pedidos, pagamentos e devoluções."
Oi! Em que posso assisti-lo?,Sinta-se à vontade para perguntar o que precisar.
Olá! Você tem alguma dúvida sobre nossos produtos?,Estou à disposição para esclarecer suas dúvidas.
Seja bem-vindo! Que informações você está procurando?,Vamos começar! O que você gostaria de saber primeiro?
